Date,Modality,FirstImageTime,ImagesPerSecond
2021-11-24 08:25:51,CR,0.15,31.3
2021-11-24 08:25:52,Failed,Failed,Failed
2021-11-24 08:25:52,CR,0.32,21.58
2021-11-24 08:25:56,MR,0.12,561.14
2021-11-24 08:25:58,CT,0.38,381.18
2021-11-24 08:25:59,CR,0.31,11.59
2021-11-24 08:26:01,CR,0.29,11.34
2021-11-24 08:26:05,CT,0.19,768.08
2021-11-24 08:26:05,CT,0.34,282.61
2021-11-24 08:26:06,MR,0.13,523.46
2021-11-24 08:26:06,Failed,Failed,Failed
2021-11-24 08:26:06,US,0.19,156.41
2021-11-24 08:26:09,CR,0.31,12.07
2021-11-24 08:26:11,CR,0.15,28.23
2021-11-24 08:26:13,MR,0.21,710.98
2021-11-24 08:26:15,CT,0.18,821.49
2021-11-24 08:26:16,CR,0.29,9.15
2021-11-24 08:26:17,CR,0.16,29.23
2021-11-24 08:26:17,MR,0.14,362.71
2021-11-24 08:26:21,US,0.22,36.56
2021-11-24 08:26:22,CT,0.34,326.5
2021-11-24 08:26:26,CR,0.28,12.92
2021-11-24 08:26:30,CR,0.16,28.84
2021-11-24 08:26:31,Failed,Failed,Failed
2021-11-24 08:26:31,Failed,Failed,Failed
2021-11-24 08:26:31,Failed,Failed,Failed
2021-11-24 08:26:32,Failed,Failed,Failed
2021-11-24 08:26:33,CR,0.29,9.81
2021-11-24 08:26:35,CT,0.29,303.4
2021-11-24 08:26:35,Failed,Failed,Failed
2021-11-24 08:26:35,Failed,Failed,Failed
2021-11-24 08:26:35,CT,0.32,472.44
2021-11-24 08:26:35,US,0.15,230.32
2021-11-24 08:26:37,MR,0.14,502.09
2021-11-24 08:26:39,CT,0.16,393.7
2021-11-24 08:26:41,CR,0.3,15.63
2021-11-24 08:26:44,Failed,Failed,Failed
2021-11-24 08:26:45,MR,0.14,615.27
2021-11-24 08:26:46,CR,0.17,22.49
2021-11-24 08:26:46,MR,0.17,372.57
2021-11-24 08:26:48,CR,0.29,15.84
2021-11-24 08:26:48,CR,0.25,27.13
2021-11-24 08:26:48,CT,0.34,307.88
2021-11-24 08:26:49,Failed,Failed,Failed
2021-11-24 08:26:50,Failed,Failed,Failed
2021-11-24 08:26:50,Failed,Failed,Failed
2021-11-24 08:26:50,MR,0.11,1072.97
2021-11-24 08:26:53,CR,0.3,14.45
2021-11-24 08:26:55,CR,0.29,10.66
2021-11-24 08:26:56,CR,0.15,30.49
2021-11-24 08:26:57,US,0.18,151.98
2021-11-24 08:26:57,MR,0.12,574.89
2021-11-24 08:26:59,CR,0.16,21.5
2021-11-24 08:26:59,Failed,Failed,Failed
2021-11-24 08:26:59,US,0.16,174.4
2021-11-24 08:27:01,CR,0.28,10.14
