Date,Modality,FirstImageTime,ImagesPerSecond,headers were loaded,Total headers load time is[seconds],First header load time is[seconds],header per second [with first header],header per second [without first header],Load completed for request,images were loaded,Total load time is[seconds],Total Pixel data load time is[seconds],First image time is[seconds],images per second [with first image],images per second [without first image],Headers transfer rate[kilobytes per second],Headers total bytes[kilobytes],Pixel data transfer rate[kilobytes per second],Pixel data total bytes[kilobytes],Total of[kilobytes per second],Total bytes[kilobytes],Number of images ,delete completed for request
2021-11-24 08:26:26,CR,0.28,12.92,2.0,0.131539,0.125113,15.204605,155.62749,1234.0,2.0,0.432277,0.300737,0.283881,4.626667,6.738753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,832307200.0
2021-11-24 08:26:30,CR,0.16,28.84,2.0,0.0906351,0.0879805,22.066506,376.704588,1234.0,2.0,0.226488,0.135853,0.159803,8.830486,14.995741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-2082996224.0
2021-11-24 08:26:31,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:31,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:31,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:32,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:33,CR,0.29,9.81,2.0,0.135029,0.128778,14.811644,159.964168,1234.0,2.0,0.494735,0.359706,0.297187,4.042565,5.062038,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1866465280.0
2021-11-24 08:26:35,CT,0.29,303.4,1186.0,0.277513,0.183775,4273.669046,12641.631613,1234.0,1186.0,4.19869,3.92118,0.383451,282.468948,310.596385,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2372.0,-2060451840.0
2021-11-24 08:26:35,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:35,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:35,CT,0.32,472.44,138.0,0.152097,0.129519,907.316323,6067.961165,1234.0,138.0,0.609916,0.457819,0.340391,226.260554,508.301453,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,276.0,1501822976.0
2021-11-24 08:26:35,US,0.15,230.32,35.0,0.096726,0.0858172,361.846866,3116.74978,1234.0,260.0,1.27903,1.18231,0.16108,203.278809,231.673777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295.0,1249116160.0
2021-11-24 08:26:37,MR,0.14,502.09,822.0,0.166317,0.0912478,4942.380977,10936.634128,1234.0,822.0,1.77919,1.61287,0.217097,462.008018,525.576835,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1644.0,2076966912.0
2021-11-24 08:26:39,CT,0.16,393.7,240.0,0.108207,0.0904552,2217.973161,13463.49927,1234.0,240.0,0.773798,0.665591,0.181942,310.158505,403.814168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,480.0,1136394240.0
2021-11-24 08:26:41,CR,0.3,15.63,2.0,0.133881,0.12755,14.938695,157.960415,1234.0,2.0,0.424143,0.290263,0.302541,4.715389,8.223522,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,654049280.0
2021-11-24 08:26:44,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:26:45,MR,0.14,615.27,37.0,0.0917424,0.0881035,403.303162,9893.099563,1234.0,37.0,0.202025,0.110283,0.145528,183.14565,637.203103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,74.0,1138753536.0
2021-11-24 08:26:46,CR,0.17,22.49,2.0,0.0907943,0.0882423,22.027815,391.84953,1234.0,2.0,0.260881,0.170087,0.174498,7.666316,11.576231,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1414791168.0
2021-11-24 08:26:46,MR,0.17,372.57,338.0,0.137194,0.0912246,2463.659205,7330.915799,1234.0,338.0,1.07442,0.937224,0.213172,314.588717,391.293454,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,676.0,1679294464.0
2021-11-24 08:26:48,CR,0.29,15.84,2.0,0.189228,0.182986,10.569244,160.197363,1234.0,2.0,0.416351,0.227122,0.296341,4.803644,8.332694,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1888485376.0
2021-11-24 08:26:48,CR,0.25,27.13,2.0,0.0986774,0.0890434,20.268065,103.799045,1234.0,2.0,0.31957,0.220893,0.255498,6.258402,15.607417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1412169728.0
2021-11-24 08:26:48,CT,0.34,307.88,1006.0,0.336536,0.156633,2989.281672,5586.349962,1234.0,1006.0,3.60918,3.27265,0.521588,278.733388,325.495984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2012.0,1846542336.0
2021-11-24 08:26:49,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
